	Description	 Category 	 Subcategory 	 Payment 	 Date 	 Gains/Expenses 	Checking Balance		Is Curent Balance <$0?	Row # In Table	Next <$0 Balance Amount	Date <$0 Balance Occurs
	Federal Loans	 Needs 	Student Loans	 Checking 	9/14/2021	 $ (108.05)	 $ 141.00 		FALSE	-1	N/A	N/A
	Lyft	 Wants 	 Free Spending 	 Chase CC 	9/15/2021	 $ (31.99)	 $ 141.00 		FALSE	-1	N/A	N/A
	Los Danzantes	 Wants 	 Free Spending 	 Amazon CC 	9/15/2021	 $ (65.69)	 $ 141.00 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	9/17/2021	 $ 1,642.21 	 $ 1,783.21 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	9/17/2021	 $ (50.00)	 $ 1,733.21 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	9/17/2021	 $ (408.09)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Mayordomo	 Wants 	 Free Spending 	 Amazon CC 	9/18/2021	 $ (3.52)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Pan:AM	 Wants 	 Free Spending 	 Amazon CC 	9/18/2021	 $ (28.19)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	9/20/2021	 $ (34.99)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Pitiona	 Wants 	 Free Spending 	 Amazon CC 	9/20/2021	 $ (79.47)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Covid 19 Test	 Wants 	 Free Spending 	 Amazon CC 	9/21/2021	 $ (17.33)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Airport Snacks	 Wants 	 Free Spending 	 Amazon CC 	9/21/2021	 $ (17.88)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Pan:AM	 Wants 	 Free Spending 	 Amazon CC 	9/21/2021	 $ (21.79)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Los Pacos	 Wants 	 Free Spending 	 Amazon CC 	9/21/2021	 $ (30.05)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Volaris Bag Check	 Wants 	 Free Spending 	 Amazon CC 	9/21/2021	 $ (69.47)	 $ 1,325.12 		FALSE	-1	N/A	N/A
	Reimbursement	 Wants 	 Free Spending 	 Checking 	9/22/2021	 $ 33.75 	 $ 1,358.87 		FALSE	-1	N/A	N/A
	Poached Neighbor	 Wants 	 Free Spending 	 Chase CC 	9/22/2021	 $ (67.50)	 $ 1,358.87 		FALSE	-1	N/A	N/A
	Lyft	 Wants 	 Free Spending 	 Chase CC 	9/23/2021	 $ (31.99)	 $ 1,358.87 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	9/23/2021	 $ (70.78)	 $ 1,358.87 		FALSE	-1	N/A	N/A
	Ralphs	 Wants 	 Free Spending 	 Citi CC 	9/24/2021	 $ (7.99)	 $ 1,358.87 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	9/24/2021	 $ (10.01)	 $ 1,358.87 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	9/24/2021	 $ (50.00)	 $ 1,308.87 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	 Free Spending 	 Checking 	9/24/2021	 $ (100.00)	 $ 1,208.87 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	9/24/2021	 $ (115.76)	 $ 1,208.87 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	Subscriptions	Chase CC	9/26/2021	 $ (7.49)	 $ 1,208.87 		FALSE	-1	N/A	N/A
	Venmo	 Wants 	Free Spending	Checking	9/27/2021	 $ (40.00)	 $ 1,168.87 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	Checking	9/28/2021	 $ (83.99)	 $ 1,084.88 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	Checking	9/28/2021	 $ (142.80)	 $ 942.08 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	Subscriptions	Chase CC	9/29/2021	 $ (6.99)	 $ 942.08 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	9/29/2021	 $ (75.24)	 $ 942.08 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	9/30/2021	 $ 83.91 	 $ 1,025.99 		FALSE	-1	N/A	N/A
	Savings Transfer	 Income 	Savings Transfer	 Checking 	9/30/2021	 $ 1,500.00 	 $ 2,525.99 		FALSE	-1	N/A	N/A
	ECSI Loans	 Needs 	Student Loans	 Checking 	9/30/2021	 $ (1,546.98)	 $ 979.01 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	10/1/2021	 $ 1,642.19 	 $ 2,621.20 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	10/1/2021	 $ (50.00)	 $ 2,571.20 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	10/1/2021	 $ (200.00)	 $ 2,371.20 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	10/1/2021	 $ (1,116.95)	 $ 1,254.25 		FALSE	-1	N/A	N/A
	Northgate	 Wants 	Free Spending	Citi CC	10/2/2021	 $ (0.99)	 $ 1,254.25 		FALSE	-1	N/A	N/A
	Target	 Wants 	Free Spending	Chase CC	10/2/2021	 $ (25.31)	 $ 1,254.25 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	Free Spending	Checking	10/2/2021	 $ (200.00)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	Free Spending	Chase CC	10/3/2021	 $ (7.21)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	Free Spending	Amazon CC	10/3/2021	 $ (10.00)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Domino's	 Wants 	Free Spending	Chase CC	10/3/2021	 $ (20.22)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Norm's	 Wants 	Free Spending	Chase CC	10/3/2021	 $ (43.78)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	Gas	Citi CC	10/5/2021	 $ (69.37)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	OF	 Wants 	Free Spending	Citi CC	10/7/2021	 $ (5.25)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Albertson's	 Wants 	Free Spending	Citi CC	10/8/2021	 $ (12.24)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Palma's Smoke Shop	 Wants 	Free Spending	Chase CC	10/8/2021	 $ (14.22)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Van Gogh Parking	 Wants 	Free Spending	Chase CC	10/8/2021	 $ (26.00)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Thai Patio	 Wants 	Free Spending	Chase CC	10/8/2021	 $ (48.00)	 $ 1,054.25 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	10/8/2021	 $ (50.00)	 $ 1,004.25 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	10/8/2021	 $ (63.15)	 $ 941.10 		FALSE	-1	N/A	N/A
	Parking	 Wants 	Free Spending	Chase CC	10/9/2021	 $ (15.00)	 $ 941.10 		FALSE	-1	N/A	N/A
	Parking	 Wants 	Free Spending	 Checking 	10/9/2021	 $ (20.00)	 $ 921.10 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	Free Spending	Amazon CC	10/9/2021	 $ (20.00)	 $ 921.10 		FALSE	-1	N/A	N/A
	Kayaking	 Wants 	Free Spending	Chase CC	10/9/2021	 $ (24.00)	 $ 921.10 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	Free Spending	Chase CC	10/9/2021	 $ (27.61)	 $ 921.10 		FALSE	-1	N/A	N/A
	Knife Convention	 Wants 	Free Spending	Chase CC	10/9/2021	 $ (40.00)	 $ 921.10 		FALSE	-1	N/A	N/A
	Top Shelf Tacos	 Wants 	Free Spending	Chase CC	10/9/2021	 $ (49.61)	 $ 921.10 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	Groceries	Citi CC	10/10/2021	 $ (65.98)	 $ 921.10 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	10/10/2021	 $ (68.52)	 $ 852.58 		FALSE	-1	N/A	N/A
	Triunfo Jiu Jitsu	 Wants 	Subscriptions	Chase CC	10/12/2021	 $ (125.00)	 $ 852.58 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	10/14/2021	 $ (308.05)	 $ 544.53 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	10/15/2021	 $ 1,642.20 	 $ 2,186.73 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	Free Spending	Chase CC	10/15/2021	 $ (10.99)	 $ 2,186.73 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	10/15/2021	 $ (50.00)	 $ 2,136.73 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	10/15/2021	 $ (165.02)	 $ 1,971.71 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	10/15/2021	 $ (200.00)	 $ 1,771.71 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	10/15/2021	 $ (409.45)	 $ 1,362.26 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	10/15/2021	 $ (896.86)	 $ 465.40 		FALSE	-1	N/A	N/A
	Return @ Costco	 Wants 	Free Spending	Chase CC	10/17/2021	 $ 32.84 	 $ 465.40 		FALSE	-1	N/A	N/A
	Coldstone	 Wants 	Free Spending	Chase CC	10/17/2021	 $ (10.89)	 $ 465.40 		FALSE	-1	N/A	N/A
	Trader Joe's	 Wants 	Free Spending	Chase CC	10/17/2021	 $ (32.27)	 $ 465.40 		FALSE	-1	N/A	N/A
	Costco	 Wants 	Free Spending	Chase CC	10/17/2021	 $ (126.01)	 $ 465.40 		FALSE	-1	N/A	N/A
	Stephanie	 Wants 	 Free Spending 	 Checking 	10/18/2021	 $ (5.00)	 $ 460.40 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	Subscriptions	Chase CC	10/20/2021	 $ (34.99)	 $ 460.40 		FALSE	-1	N/A	N/A
	California Fish Grill	 Wants 	Free Spending	Chase CC	10/22/2021	 $ (12.66)	 $ 460.40 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	10/22/2021	 $ (50.00)	 $ 410.40 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	Gas	Citi CC	10/22/2021	 $ (72.65)	 $ 410.40 		FALSE	-1	N/A	N/A
	Withdrawak	 Wants 	 Free Spending 	 Checking 	10/22/2021	 $ (100.00)	 $ 310.40 		FALSE	-1	N/A	N/A
	Target	 Wants 	Free Spending	Chase CC	10/23/2021	 $ (6.67)	 $ 310.40 		FALSE	-1	N/A	N/A
	Sessions Deli	 Wants 	Free Spending	Chase CC	10/23/2021	 $ (12.93)	 $ 310.40 		FALSE	-1	N/A	N/A
	Exhumed Tickets	 Wants 	Free Spending	Chase CC	10/23/2021	 $ (28.48)	 $ 310.40 		FALSE	-1	N/A	N/A
	IHOP	 Wants 	Free Spending	Chase CC	10/24/2021	 $ (24.00)	 $ 310.40 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	Free Spending	Chase CC	10/25/2021	 $ (7.00)	 $ 310.40 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	Free Spending	Amazon CC	10/25/2021	 $ (36.40)	 $ 310.40 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	Subscriptions	Chase CC	10/26/2021	 $ (7.49)	 $ 310.40 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	Free Spending	Amazon CC	10/26/2021	 $ (35.00)	 $ 310.40 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	Free Spending	Amazon CC	10/26/2021	 $ (38.72)	 $ 310.40 		FALSE	-1	N/A	N/A
	Venmo	 Wants 	 Free Spending 	 Checking 	10/27/2021	 $ (60.00)	 $ 250.40 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	10/28/2021	 $ (83.99)	 $ 166.41 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	10/28/2021	 $ (142.80)	 $ 23.61 		FALSE	-1	N/A	N/A
	Idaho Plan Tickets	 Wants 	Free Spending	Chase CC	10/28/2021	 $ (173.26)	 $ 23.61 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	10/29/2021	 $ 1,642.19 	 $ 1,665.80 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	Subscriptions	Chase CC	10/29/2021	 $ (6.99)	 $ 1,665.80 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	Free Spending	Chase CC	10/29/2021	 $ (14.84)	 $ 1,665.80 		FALSE	-1	N/A	N/A
	Pho Crystal 3	 Wants 	Free Spending	Chase CC	10/29/2021	 $ (45.00)	 $ 1,665.80 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	10/29/2021	 $ (60.00)	 $ 1,605.80 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	10/29/2021	 $ (200.00)	 $ 1,405.80 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	Free Spending	Amazon CC	10/30/2021	 $ (53.64)	 $ 1,405.80 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	10/31/2021	 $ 76.26 	 $ 1,482.06 		FALSE	-1	N/A	N/A
	Ralphs	 Needs 	 Groceries 	 Citi CC 	11/1/2021	 $ (46.74)	 $ 1,482.06 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	11/1/2021	 $ (1,117.60)	 $ 364.46 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	11/5/2021	 $ (12.55)	 $ 364.46 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	11/5/2021	 $ (50.00)	 $ 314.46 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	11/5/2021	 $ (65.54)	 $ 314.46 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Chase CC 	11/6/2021	 $ (15.97)	 $ 314.46 		FALSE	-1	N/A	N/A
	The Renegade Noho	 Wants 	 Free Spending 	 Chase CC 	11/6/2021	 $ (17.00)	 $ 314.46 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	11/7/2021	 $ (10.00)	 $ 314.46 		FALSE	-1	N/A	N/A
	Shibuyala	 Wants 	 Free Spending 	 Chase CC 	11/7/2021	 $ (12.93)	 $ 314.46 		FALSE	-1	N/A	N/A
	A&J Restaurant	 Wants 	 Free Spending 	 Chase CC 	11/7/2021	 $ (52.00)	 $ 314.46 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	11/8/2021	 $ (10.00)	 $ 314.46 		FALSE	-1	N/A	N/A
	Wholesome Choice	 Wants 	 Free Spending 	 Chase CC 	11/8/2021	 $ (31.52)	 $ 314.46 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	11/9/2021	 $ (32.24)	 $ 282.22 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	11/12/2021	 $ 1,723.27 	 $ 2,005.49 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	11/12/2021	 $ (50.00)	 $ 1,955.49 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	11/12/2021	 $ (55.78)	 $ 1,899.71 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	11/12/2021	 $ (65.01)	 $ 1,834.70 		FALSE	-1	N/A	N/A
	Triunfo Jiu Jitsu	 Wants 	 Subscriptions 	 Chase CC 	11/12/2021	 $ (125.00)	 $ 1,834.70 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	11/12/2021	 $ (200.00)	 $ 1,634.70 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	11/12/2021	 $ (225.49)	 $ 1,409.21 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	11/12/2021	 $ (754.49)	 $ 654.72 		FALSE	-1	N/A	N/A
	Ralphs	 Wants 	 Free Spending 	 Citi CC 	11/13/2021	 $ (11.09)	 $ 654.72 		FALSE	-1	N/A	N/A
	Chronic Tacos	 Wants 	 Free Spending 	 Chase CC 	11/13/2021	 $ (13.15)	 $ 654.72 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	11/14/2021	 $ (21.62)	 $ 654.72 		FALSE	-1	N/A	N/A
	Petsmart	 Wants 	 Free Spending 	 Chase CC 	11/14/2021	 $ (43.57)	 $ 654.72 		FALSE	-1	N/A	N/A
	Siam Wala Thai Massage	 Wants 	 Free Spending 	 Chase CC 	11/14/2021	 $ (80.00)	 $ 654.72 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	11/14/2021	 $ (308.05)	 $ 346.67 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	11/15/2021	 $ (9.47)	 $ 346.67 		FALSE	-1	N/A	N/A
	Jamboree Smog	 Needs 	 Misc. 	 Chase CC 	11/15/2021	 $ (38.00)	 $ 346.67 		FALSE	-1	N/A	N/A
	Costco	 Wants 	 Free Spending 	 Chase CC 	11/15/2021	 $ (152.78)	 $ 346.67 		FALSE	-1	N/A	N/A
	Target	 Wants 	 Free Spending 	 Chase CC 	11/17/2021	 $ (84.02)	 $ 346.67 		FALSE	-1	N/A	N/A
	DMV Registration	 Needs 	 Misc. 	 Checking 	11/17/2021	 $ (201.00)	 $ 145.67 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	11/19/2021	 $ (9.91)	 $ 145.67 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	11/19/2021	 $ (50.00)	 $ 95.67 		FALSE	-1	N/A	N/A
	Stock Portfolio	 Income 	 Earnings 	 Checking 	11/20/2021	 $ 1,085.08 	 $ 1,180.75 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Chase CC 	11/20/2021	 $ (12.77)	 $ 1,180.75 		FALSE	-1	N/A	N/A
	Domino's	 Wants 	 Free Spending 	 Chase CC 	11/20/2021	 $ (33.56)	 $ 1,180.75 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	11/20/2021	 $ (34.99)	 $ 1,180.75 		FALSE	-1	N/A	N/A
	Zelle	 Wants 	 Free Spending 	 Checking 	11/20/2021	 $ (60.00)	 $ 1,120.75 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	 Free Spending 	 Checking 	11/20/2021	 $ (100.00)	 $ 1,020.75 		FALSE	-1	N/A	N/A
	Photasia	 Wants 	 Free Spending 	 Chase CC 	11/21/2021	 $ (21.87)	 $ 1,020.75 		FALSE	-1	N/A	N/A
	Twohey's	 Wants 	 Free Spending 	 Chase CC 	11/21/2021	 $ (54.00)	 $ 1,020.75 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	11/21/2021	 $ (75.01)	 $ 1,020.75 		FALSE	-1	N/A	N/A
	Reimbursement	 Wants 	 Free Spending 	 Checking 	11/22/2021	 $ 18.00 	 $ 1,038.75 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Vacation Spending 	 Chase CC 	11/24/2021	 $ (7.00)	 $ 1,038.75 		FALSE	-1	N/A	N/A
	Jersey Mike's	 Wants 	 Vacation Spending 	 Chase CC 	11/24/2021	 $ (11.87)	 $ 1,038.75 		FALSE	-1	N/A	N/A
	Zenko Sushi	 Wants 	 Free Spending 	 Chase CC 	11/24/2021	 $ (43.95)	 $ 1,038.75 		FALSE	-1	N/A	N/A
	Renter's Insurance	 Needs 	 Renter's Insurance 	 Checking 	11/24/2021	 $ (59.50)	 $ 979.25 		FALSE	-1	N/A	N/A
	Cinemark	 Wants 	 Vacation Spending 	 Chase CC 	11/25/2021	 $ (10.08)	 $ 979.25 		FALSE	-1	N/A	N/A
	Uber	 Wants 	 Vacation Spending 	 Chase CC 	11/25/2021	 $ (68.90)	 $ 979.25 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	11/26/2021	 $ 2,594.77 	 $ 3,574.02 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	Subscriptions	Chase CC	11/26/2021	 $ (7.49)	 $ 3,574.02 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	11/26/2021	 $ (50.00)	 $ 3,524.02 		FALSE	-1	N/A	N/A
	White Dog Brewery	 Wants 	 Vacation Spending 	 Chase CC 	11/26/2021	 $ (60.00)	 $ 3,524.02 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	11/26/2021	 $ (200.00)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	Chevron	 Wants 	 Vacation Spending 	 Citi CC 	11/27/2021	 $ (5.82)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	10 Barrel Brewery	 Wants 	 Vacation Spending 	 Chase CC 	11/27/2021	 $ (37.00)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	Subscriptions	Chase CC	11/29/2021	 $ (6.99)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	Ishtar Market	 Wants 	 Vacation Spending 	 Chase CC 	11/29/2021	 $ (12.51)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	Moe Joe's	 Wants 	 Vacation Spending 	 Chase CC 	11/29/2021	 $ (33.00)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	Chevron	 Wants 	 Vacation Spending 	 Citi CC 	11/29/2021	 $ (39.00)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	JC Penney	 Wants 	 Free Spending 	 Chase CC 	11/29/2021	 $ (48.76)	 $ 3,324.02 		FALSE	-1	N/A	N/A
	Venmo	 Wants 	 Free Spending 	 Checking 	11/29/2021	 $ (50.00)	 $ 3,274.02 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	11/29/2021	 $ (83.99)	 $ 3,190.03 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	11/30/2021	 $ 85.37 	 $ 3,275.40 		FALSE	-1	N/A	N/A
	Albertson's	 Wants 	 Vacation Spending 	 Citi CC 	11/30/2021	 $ (41.65)	 $ 3,275.40 		FALSE	-1	N/A	N/A
	Taxi	 Wants 	 Vacation Spending 	 Chase CC 	11/30/2021	 $ (68.25)	 $ 3,275.40 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	11/30/2021	 $ (142.80)	 $ 3,132.60 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	12/1/2021	 $ (39.91)	 $ 3,132.60 		FALSE	-1	N/A	N/A
	Tijuana Airbnb	 Wants 	 Vacation Spending 	 Checking 	12/1/2021	 $ (112.58)	 $ 3,020.02 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	12/1/2021	 $ (1,119.20)	 $ 1,900.82 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	12/1/2021	 $ (1,363.06)	 $ 537.76 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	12/3/2021	 $ (50.00)	 $ 487.76 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	12/4/2021	 $ (18.57)	 $ 487.76 		FALSE	-1	N/A	N/A
	76	 Needs 	 Gas 	 Citi CC 	12/4/2021	 $ (35.69)	 $ 487.76 		FALSE	-1	N/A	N/A
	Big Bear Brewery	 Wants 	 Free Spending 	 Chase CC 	12/4/2021	 $ (65.06)	 $ 487.76 		FALSE	-1	N/A	N/A
	Flores Markets	 Wants 	 Free Spending 	 Chase CC 	12/5/2021	 $ (18.59)	 $ 487.76 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	12/5/2021	 $ (55.78)	 $ 431.98 		FALSE	-1	N/A	N/A
	Target	 Needs 	 Groceries 	 Chase CC 	12/6/2021	 $ (52.69)	 $ 431.98 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	12/7/2021	 $ (8.89)	 $ 431.98 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	12/7/2021	 $ (76.10)	 $ 431.98 		FALSE	-1	N/A	N/A
	Carls Jr	 Wants 	 Free Spending 	 Amazon CC 	12/9/2021	 $ (12.26)	 $ 431.98 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	12/9/2021	 $ (96.89)	 $ 431.98 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	12/10/2021	 $ 1,642.20 	 $ 2,074.18 		FALSE	-1	N/A	N/A
	Nate's Korner	 Wants 	 Free Spending 	 Chase CC 	12/10/2021	 $ (14.10)	 $ 2,074.18 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	12/10/2021	 $ (20.00)	 $ 2,054.18 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	12/10/2021	 $ (50.00)	 $ 2,004.18 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	12/10/2021	 $ (63.49)	 $ 1,940.69 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	12/10/2021	 $ (200.00)	 $ 1,740.69 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	12/10/2021	 $ (324.76)	 $ 1,415.93 		FALSE	-1	N/A	N/A
	El Mejor Pan De Tecate	 Wants 	 Vacation Spending 	 Amazon CC 	12/11/2021	 $ (12.34)	 $ 1,415.93 		FALSE	-1	N/A	N/A
	Piedra Santa	 Wants 	 Vacation Spending 	 Amazon CC 	12/11/2021	 $ (46.93)	 $ 1,415.93 		FALSE	-1	N/A	N/A
	La Casa Del Habano	 Wants 	 Vacation Spending 	 Amazon CC 	12/11/2021	 $ (87.00)	 $ 1,415.93 		FALSE	-1	N/A	N/A
	Casa Frida	 Wants 	 Vacation Spending 	 Amazon CC 	12/12/2021	 $ (38.41)	 $ 1,415.93 		FALSE	-1	N/A	N/A
	Casa Frida	 Wants 	 Vacation Spending 	 Amazon CC 	12/12/2021	 $ (52.33)	 $ 1,415.93 		FALSE	-1	N/A	N/A
